doc,shootingID,outlet,,
7611,25,foxnews,10/30/18,Pittsburgh rabbi receives hate mail for saying Trump would be welcome: 'We need to be better than this'
7615,25,foxnews,10/30/18,Rampage victims' funerals begin as Trump heads to Pittsburgh
7617,25,foxnews,10/30/18,Reporter's Notebook: Protests greet Trump in Pittsburgh after synagogue massacre
7627,25,foxnews,10/30/18,Synagogue shooter was obsessed with Jewish refugee agency
7632,25,foxnews,10/30/18,The Latest: Activists protest Trump synagogue visit
7636,25,foxnews,10/30/18,The Latest: Governor and Pittsburgh mayor won't join Trump
7651,25,foxnews,10/30/18,Trump visits Pittsburgh synagogue to pay respects to victims of massacre
7802,25,foxnews,10/30/18,Officers hurt in Pittsburgh synagogue attack identified
7814,25,foxnews,10/30/18,Pittsburgh begins burying its dead as Trump faces protesters
7864,25,foxnews,10/30/18,The Latest: Sanders: Trump's visit to synagogue 'humbling'
7882,25,foxnews,10/30/18,Trump's visit to Pittsburgh's Tree of Life Synagogue shows he is dedicated to fighting anti-Semitism
14917,25,nytimes,10/30/18,"President Trump Prepares to Visit Pittsburgh, as Some Urge Him to Stay Away"
14945,25,nytimes,10/30/18,On Politics: Pittsburgh Massacre Happened Amid Rise in Anti-Semitism
14946,25,nytimes,10/30/18,"At a Pittsburgh Crime Scene, Jewish Volunteers Guard the âBodies of Holy Martyrsâ"
14948,25,nytimes,10/30/18,"Pittsburgh, Lion Air, Milky Way: Your Tuesday Briefing"
14967,25,nytimes,10/30/18,"Synagogue Shooting, India, South Korea: Your Wednesday Briefing"
14980,25,nytimes,10/30/18,"Accused Synagogue Killerâs Guns All Purchased Legally, Inquiry Finds"
15012,25,nytimes,10/30/18,FedEx Ends Deal for N.R.A. but Says Itâs Not Because of Pittsburgh Shooting
15029,25,nytimes,10/30/18,"Amid Scrutiny, Ivanka Trump and Jared Kushner Shaped Trumpâs Pittsburgh Response"
15060,25,nytimes,10/30/18,"Pittsburgh, Midterms, Whitey Bulger: Your Tuesday Evening Briefing"
15062,25,nytimes,10/30/18,"After Pittsburgh Shooting, Rabbis Talk to Children About Responding to Hate"
18350,25,thinkprogress,10/30/18,Fox News keeps pushing conspiracy theory that motivated Pittsburgh synagogue shooter
18351,25,thinkprogress,10/30/18,"After synagogue massacre, Republicans aren’t tamping down their anti-Semitism"
18363,25,thinkprogress,10/30/18,Trump visits Pittsburgh after being asked not to by everyone
1935,25,breitbart,10/31/18,CNN's Camerota: Trump 'Using Some of the Same Language' as Pittsburgh Synagogue Shooter | Breitbart
1967,25,breitbart,10/31/18,Naftali Bennet: ‘Unfair and Wrong’ to Attack Trump over Pittsburgh Shooting
2001,25,breitbart,10/31/18,Report: University of Michigan Hosts ‘Pro-BDS’ Event Despite Pittsburgh Synagogue Massacre
2067,25,breitbart,10/31/18,Jewish Americans Flock to Firearms Training in Wake of Synagogue Attack
2118,25,breitbart,10/31/18,Trump: Far-Left Media Used Synagogue Attack to Sow Anger and Division
7760,25,foxnews,10/31/18,Israel defends Trump amid synagogue shooting criticism
7795,25,foxnews,10/31/18,Mourning and protests as Pittsburgh begins victims' burials
7796,25,foxnews,10/31/18,Muslim-led groups raise enough money to cover funeral expenses for synagogue victims
7815,25,foxnews,10/31/18,Pittsburgh funerals continue after Trump visit and protests
7816,25,foxnews,10/31/18,Pittsburgh synagogue suspect transferred to prison in another county; officials there 'not happy' with decision
7817,25,foxnews,10/31/18,Pittsburgh synagogue suspect's transfer to their prison angers local officials
7856,25,foxnews,10/31/18,Synagogue rampage suspect indicted on 2nd day of funerals
7866,25,foxnews,10/31/18,The Latest: Synagogue suspect indicted on 44 counts
7870,25,foxnews,10/31/18,This Is Us' mourns Pittsburgh synagogue shooting victims in powerful message
7907,25,foxnews,10/31/18,"As Jews murdered in the Pittsburgh synagogue massacre are buried, the Jewish mourning period begins"
15059,25,nytimes,10/31/18,"Back-to-Back Funerals. Mourners 50 Deep. Pittsburgh Grieves, 11 Times Over."
15061,25,nytimes,10/31/18,"Pittsburgh, Venice, Whitey Bulger: Your Wednesday Briefing"
15196,25,nytimes,10/31/18,Robert Bowers Indicted on 44 Counts After Synagogue Shooting in Pittsburgh
18376,25,thinkprogress,10/31/18,Trump keeps pushing ‘invasion’ narrative that motivated Pittsburgh gunman to kill 11 people
19950,25,wallstreetjournal,10/31/18,Israeli Minister Calls It Unfair to Link Trump with Synagogue Shooting
