"X","document","topic","gamma","outlet","date","location","zip","medianIncome","majorityRace","countyVote","dead","injured","total","childrenHarmed","ideology"
56,"text4808","6",0.565537155653192,"foxnews",2018-10-02,"Chicago, Illinois","60632",3.49650756146648,"1","0",2,2,4,"0",4.7
57,"text12623","6",0.585165539731075,"nytimes",2018-10-02,"Chicago, Illinois","60632",3.49650756146648,"1","0",2,2,4,"0",2.8
58,"text12666","6",0.717321074689828,"nytimes",2018-10-02,"Chicago, Illinois","60632",3.49650756146648,"1","0",2,2,4,"0",2.8
59,"text211","1",0.729336450739472,"breitbart",2018-10-03,"Florence, South Carolina","29501",3.78418963391826,"1","1",2,6,8,"0",4.9
59,"text211","1",0.729336450739472,"breitbart",2018-10-03,"Philadelphia, Pennsylvania","20874",4.02535169073515,"1","0",1,4,5,"0",4.9
60,"text313","1",0.860539989675984,"breitbart",2018-10-03,"Florence, South Carolina","29501",3.78418963391826,"1","1",2,6,8,"0",4.9
60,"text313","1",0.860539989675984,"breitbart",2018-10-03,"Philadelphia, Pennsylvania","20874",4.02535169073515,"1","0",1,4,5,"0",4.9
61,"text4863","1",0.433443301487332,"foxnews",2018-10-03,"Florence, South Carolina","29501",3.78418963391826,"1","1",2,6,8,"0",4.7
61,"text4863","1",0.433443301487332,"foxnews",2018-10-03,"Philadelphia, Pennsylvania","20874",4.02535169073515,"1","0",1,4,5,"0",4.7
62,"text265","2",0.670888855496487,"breitbart",2018-10-03,"Florence, South Carolina","29501",3.78418963391826,"1","1",2,6,8,"0",4.9
62,"text265","2",0.670888855496487,"breitbart",2018-10-03,"Philadelphia, Pennsylvania","20874",4.02535169073515,"1","0",1,4,5,"0",4.9
63,"text4860","2",0.277630176488,"foxnews",2018-10-03,"Florence, South Carolina","29501",3.78418963391826,"1","1",2,6,8,"0",4.7
63,"text4860","2",0.277630176488,"foxnews",2018-10-03,"Philadelphia, Pennsylvania","20874",4.02535169073515,"1","0",1,4,5,"0",4.7
64,"text4900","2",0.464351509165286,"foxnews",2018-10-03,"Florence, South Carolina","29501",3.78418963391826,"1","1",2,6,8,"0",4.7
64,"text4900","2",0.464351509165286,"foxnews",2018-10-03,"Philadelphia, Pennsylvania","20874",4.02535169073515,"1","0",1,4,5,"0",4.7
65,"text4912","2",0.726961543393993,"foxnews",2018-10-03,"Florence, South Carolina","29501",3.78418963391826,"1","1",2,6,8,"0",4.7
65,"text4912","2",0.726961543393993,"foxnews",2018-10-03,"Philadelphia, Pennsylvania","20874",4.02535169073515,"1","0",1,4,5,"0",4.7
66,"text4924","2",0.625897500807118,"foxnews",2018-10-03,"Florence, South Carolina","29501",3.78418963391826,"1","1",2,6,8,"0",4.7
66,"text4924","2",0.625897500807118,"foxnews",2018-10-03,"Philadelphia, Pennsylvania","20874",4.02535169073515,"1","0",1,4,5,"0",4.7
67,"text4933","2",0.868445378825427,"foxnews",2018-10-03,"Florence, South Carolina","29501",3.78418963391826,"1","1",2,6,8,"0",4.7
67,"text4933","2",0.868445378825427,"foxnews",2018-10-03,"Philadelphia, Pennsylvania","20874",4.02535169073515,"1","0",1,4,5,"0",4.7
68,"text4940","2",0.568082236582531,"foxnews",2018-10-03,"Florence, South Carolina","29501",3.78418963391826,"1","1",2,6,8,"0",4.7
68,"text4940","2",0.568082236582531,"foxnews",2018-10-03,"Philadelphia, Pennsylvania","20874",4.02535169073515,"1","0",1,4,5,"0",4.7
69,"text5120","2",0.781450369360438,"foxnews",2018-10-03,"Florence, South Carolina","29501",3.78418963391826,"1","1",2,6,8,"0",4.7
69,"text5120","2",0.781450369360438,"foxnews",2018-10-03,"Philadelphia, Pennsylvania","20874",4.02535169073515,"1","0",1,4,5,"0",4.7
70,"text5135","2",0.817053972316753,"foxnews",2018-10-03,"Florence, South Carolina","29501",3.78418963391826,"1","1",2,6,8,"0",4.7
70,"text5135","2",0.817053972316753,"foxnews",2018-10-03,"Philadelphia, Pennsylvania","20874",4.02535169073515,"1","0",1,4,5,"0",4.7
71,"text5136","2",0.773003751520683,"foxnews",2018-10-03,"Florence, South Carolina","29501",3.78418963391826,"1","1",2,6,8,"0",4.7
71,"text5136","2",0.773003751520683,"foxnews",2018-10-03,"Philadelphia, Pennsylvania","20874",4.02535169073515,"1","0",1,4,5,"0",4.7
72,"text12764","2",0.429261488359619,"nytimes",2018-10-03,"Florence, South Carolina","29501",3.78418963391826,"1","1",2,6,8,"0",2.8
72,"text12764","2",0.429261488359619,"nytimes",2018-10-03,"Philadelphia, Pennsylvania","20874",4.02535169073515,"1","0",1,4,5,"0",2.8
73,"text12827","2",0.815308031642246,"nytimes",2018-10-03,"Florence, South Carolina","29501",3.78418963391826,"1","1",2,6,8,"0",2.8
73,"text12827","2",0.815308031642246,"nytimes",2018-10-03,"Philadelphia, Pennsylvania","20874",4.02535169073515,"1","0",1,4,5,"0",2.8
74,"text4843","3",0.475569870052199,"foxnews",2018-10-03,"Florence, South Carolina","29501",3.78418963391826,"1","1",2,6,8,"0",4.7
74,"text4843","3",0.475569870052199,"foxnews",2018-10-03,"Philadelphia, Pennsylvania","20874",4.02535169073515,"1","0",1,4,5,"0",4.7
75,"text4891","3",0.752759599012991,"foxnews",2018-10-03,"Florence, South Carolina","29501",3.78418963391826,"1","1",2,6,8,"0",4.7
75,"text4891","3",0.752759599012991,"foxnews",2018-10-03,"Philadelphia, Pennsylvania","20874",4.02535169073515,"1","0",1,4,5,"0",4.7
76,"text4893","3",0.346580230654019,"foxnews",2018-10-03,"Florence, South Carolina","29501",3.78418963391826,"1","1",2,6,8,"0",4.7
76,"text4893","3",0.346580230654019,"foxnews",2018-10-03,"Philadelphia, Pennsylvania","20874",4.02535169073515,"1","0",1,4,5,"0",4.7
77,"text4943","3",0.719953104423564,"foxnews",2018-10-03,"Florence, South Carolina","29501",3.78418963391826,"1","1",2,6,8,"0",4.7
77,"text4943","3",0.719953104423564,"foxnews",2018-10-03,"Philadelphia, Pennsylvania","20874",4.02535169073515,"1","0",1,4,5,"0",4.7
78,"text12657","3",0.405033038575645,"nytimes",2018-10-03,"Florence, South Carolina","29501",3.78418963391826,"1","1",2,6,8,"0",2.8
78,"text12657","3",0.405033038575645,"nytimes",2018-10-03,"Philadelphia, Pennsylvania","20874",4.02535169073515,"1","0",1,4,5,"0",2.8
79,"text12730","3",0.538790108655595,"nytimes",2018-10-03,"Florence, South Carolina","29501",3.78418963391826,"1","1",2,6,8,"0",2.8
79,"text12730","3",0.538790108655595,"nytimes",2018-10-03,"Philadelphia, Pennsylvania","20874",4.02535169073515,"1","0",1,4,5,"0",2.8
