"","document","topic","gamma","outlet","date"
"191","text17201",3,0.694650434827938,"foxnews","2018-10-03"
"192","text17210",3,0.936131576719277,"foxnews","2018-10-03"
"193","text17217",3,0.623888379278118,"foxnews","2018-10-03"
"194","text17397",3,0.841302189429328,"foxnews","2018-10-03"
"195","text17412",3,0.847278550060041,"foxnews","2018-10-03"
"196","text17413",3,0.835186379933418,"foxnews","2018-10-03"
"197","text24951",3,0.730910602036028,"huffingtonpost","2018-10-03"
"198","text25059",3,0.940832831979799,"huffingtonpost","2018-10-03"
"199","text32608",3,0.882700144481153,"newsweek","2018-10-03"
"200","text32649",3,0.788881352834576,"newsweek","2018-10-03"
"201","text32664",3,0.86022604306607,"newsweek","2018-10-03"
"202","text32675",3,0.583572646206183,"newsweek","2018-10-03"
"203","text32742",3,0.862320190377644,"newsweek","2018-10-03"
"204","text38670",3,0.891761872432562,"nytimes","2018-10-03"
"205","text253",4,0.601974580298802,"abcnews","2018-10-03"
"206","text15175",4,0.449345639981421,"dailykos","2018-10-03"
"207","text15184",4,0.594317020253048,"dailykos","2018-10-03"
"208","text15201",4,0.780350675097398,"dailykos","2018-10-03"
"209","text15223",4,0.457189360481151,"dailykos","2018-10-03"
"210","text17202",4,0.505397747322453,"foxnews","2018-10-03"
"211","text17311",4,0.637062586359572,"foxnews","2018-10-03"
"212","text25103",4,0.746507067020987,"huffingtonpost","2018-10-03"
"213","text31497",4,0.442159696818108,"motherjones","2018-10-03"
"214","text31499",4,0.571759581539941,"motherjones","2018-10-03"
"215","text31506",4,0.32095456710868,"motherjones","2018-10-03"
"216","text43872",4,0.666873649153991,"politico","2018-10-03"
"217","text43907",4,0.649866791982763,"politico","2018-10-03"
"218","text43924",4,0.562379387699776,"politico","2018-10-03"
"219","text45483",4,0.381934351554705,"thehill","2018-10-03"
"220","text50309",4,0.405329894403772,"washingtonpost","2018-10-03"
"221","text50322",4,0.48366976704685,"washingtonpost","2018-10-03"
"222","text50428",4,0.868034568121295,"washingtonpost","2018-10-03"
"223","text32594",5,0.416329974064839,"newsweek","2018-10-03"
"224","text354",1,0.371006731706452,"abcnews","2018-10-04"
"225","text400",1,0.338694075621774,"abcnews","2018-10-04"
"226","text401",1,0.964906475705029,"abcnews","2018-10-04"
"227","text10526",1,0.848701995918413,"cnbc","2018-10-04"
"228","text17355",1,0.394506296517825,"foxnews","2018-10-04"
"229","text17357",1,0.64153371508259,"foxnews","2018-10-04"
"230","text17452",1,0.5246458970243,"foxnews","2018-10-04"
"231","text25094",1,0.595039578032428,"huffingtonpost","2018-10-04"
"232","text25168",1,0.570958490104806,"huffingtonpost","2018-10-04"
"233","text31526",1,0.708342356784868,"motherjones","2018-10-04"
"234","text32789",1,0.459820933888567,"newsweek","2018-10-04"
"235","text37577",1,0.956006243188103,"newyorker","2018-10-04"
"236","text37583",1,0.824115801566829,"newyorker","2018-10-04"
"237","text38624",1,0.614934924118604,"nytimes","2018-10-04"
"238","text38667",1,0.516311705489584,"nytimes","2018-10-04"
"239","text38875",1,0.847584861202149,"nytimes","2018-10-04"
"240","text38921",1,0.838067425489551,"nytimes","2018-10-04"
"241","text48964",1,0.542729573290226,"townhall","2018-10-04"
"242","text49575",1,0.871724078786222,"vice","2018-10-04"
"243","text49585",1,0.830879249738112,"vice","2018-10-04"
"244","text50385",1,0.88589362318824,"washingtonpost","2018-10-04"
"245","text50473",1,0.466935068160923,"washingtonpost","2018-10-04"
"246","text339",2,0.54357417589463,"abcnews","2018-10-04"
"247","text5797",2,0.674951229842177,"breitbart","2018-10-04"
"248","text10491",2,0.620825757355224,"cnbc","2018-10-04"
"249","text17550",2,0.757109637668466,"foxnews","2018-10-04"
"250","text29011",2,0.781450369280398,"infowars","2018-10-04"
"251","text38669",2,0.509170448444762,"nytimes","2018-10-04"
"252","text38700",2,0.908483874358622,"nytimes","2018-10-04"
