"","outlet","document","topic","gamma","date","ideology"
"149","breitbart","text9440","1",0.866185683760481,"2018-11-23",4.9
"150","breitbart","text8148","4",0.74139906773685,"2018-11-07",4.9
"151","breitbart","text7080","3",0.520724866560169,"2018-10-27",4.9
"152","breitbart","text7574","5",0.373813956013811,"2018-10-31",4.9
"153","breitbart","text5883","1",0.787078601309267,"2018-10-05",4.9
"154","breitbart","text6842","3",0.46189759894763,"2018-10-23",4.9
"155","breitbart","text8269","1",0.554013724279683,"2018-11-09",4.9
"156","breitbart","text9214","3",0.696514675807896,"2018-11-20",4.9
"157","breitbart","text9551","1",0.383216816885596,"2018-11-24",4.9
"158","breitbart","text7165","5",0.609960222571579,"2018-10-28",4.9
"159","breitbart","text7355","3",0.747913831569124,"2018-10-30",4.9
"160","breitbart","text9308","2",0.509769463156326,"2018-11-21",4.9
"161","breitbart","text7367","1",0.481302883371391,"2018-10-30",4.9
"162","breitbart","text5629","2",0.452555726342392,"2018-10-02",4.9
"163","breitbart","text7262","5",0.405500594091,"2018-10-28",4.9
"164","breitbart","text9034","3",0.495559407295786,"2018-11-17",4.9
"165","breitbart","text8622","3",0.83097597221949,"2018-11-12",4.9
"166","breitbart","text7235","2",0.436240634730168,"2018-10-28",4.9
"167","breitbart","text7240","2",0.442246174515191,"2018-10-29",4.9
"168","breitbart","text7640","4",0.48791794675419,"2018-11-02",4.9
"169","breitbart","text7654","4",0.348966105687399,"2018-11-02",4.9
"170","breitbart","text9245","3",0.692819816023117,"2018-11-20",4.9
"171","breitbart","text9074","2",0.434857716860874,"2018-11-19",4.9
"172","breitbart","text8398","4",0.471077798936472,"2018-11-10",4.9
"173","breitbart","text8332","3",0.413858173916186,"2018-11-09",4.9
"174","breitbart","text5523","1",0.480392460664356,"2018-10-01",4.9
"175","breitbart","text8275","3",0.508582166305681,"2018-11-08",4.9
"176","breitbart","text7324","1",0.524115227362554,"2018-10-30",4.9
"177","breitbart","text5935","3",0.585371921902615,"2018-10-06",4.9
"178","breitbart","text7155","5",0.453523211743165,"2018-10-27",4.9
"179","breitbart","text6508","2",0.564529159590659,"2018-10-19",4.9
"180","breitbart","text6638","2",0.709767897353715,"2018-10-19",4.9
"181","breitbart","text5551","3",0.331576147152261,"2018-10-02",4.9
"182","breitbart","text7537","2",0.72019929852101,"2018-11-01",4.9
"183","breitbart","text8644","1",0.42015001825485,"2018-11-12",4.9
"184","breitbart","text8999","1",0.459415920044912,"2018-11-18",4.9
"185","breitbart","text7306","3",0.512793991498261,"2018-10-30",4.9
"186","breitbart","text8530","4",0.381000966610756,"2018-11-12",4.9
"187","breitbart","text7504","1",0.437201944318466,"2018-10-30",4.9
"188","breitbart","text9000","1",0.645748513982453,"2018-11-18",4.9
"189","breitbart","text9507","4",0.404888412393365,"2018-11-24",4.9
"190","breitbart","text7486","5",0.505798177417514,"2018-10-31",4.9
"191","breitbart","text6969","3",0.766191011254034,"2018-10-24",4.9
"192","breitbart","text10041","1",0.541185689320255,"2018-11-30",4.9
"193","breitbart","text6131","3",0.724183199233897,"2018-10-15",4.9
"194","breitbart","text8745","3",0.589148550558728,"2018-11-14",4.9
"195","breitbart","text7847","2",0.7407285783629,"2018-11-03",4.9
"196","breitbart","text6093","4",0.336252691418725,"2018-10-15",4.9
"197","breitbart","text7193","5",0.416346798970493,"2018-10-28",4.9
"198","breitbart","text8484","2",0.409718972511214,"2018-11-12",4.9
"199","breitbart","text8278","1",0.345377396904353,"2018-11-09",4.9
"200","breitbart","text5945","4",0.737353655890849,"2018-10-05",4.9
"201","breitbart","text8351","3",0.597556592054896,"2018-11-08",4.9
"202","breitbart","text7204","3",0.722805334910884,"2018-10-29",4.9
"203","breitbart","text7516","4",0.434193873247499,"2018-10-31",4.9
"204","breitbart","text5769","3",0.774055726025443,"2018-10-04",4.9
"205","breitbart","text10028","3",0.65935056883022,"2018-11-30",4.9
"206","breitbart","text10037","2",0.463753427244233,"2018-11-29",4.9
"207","breitbart","text9113","2",0.550116614517785,"2018-11-18",4.9
"208","breitbart","text7207","2",0.579785129342216,"2018-10-29",4.9
"209","breitbart","text9467","3",0.750813076159448,"2018-11-23",4.9
"210","breitbart","text8825","2",0.876985587453732,"2018-11-14",4.9
"211","breitbart","text8405","4",0.482362479680907,"2018-11-09",4.9
"212","breitbart","text6559","3",0.431176927247169,"2018-10-18",4.9
"213","breitbart","text7317","2",0.46347342775203,"2018-10-30",4.9
"214","breitbart","text6720","4",0.438183292777676,"2018-10-21",4.9
"215","breitbart","text9122","1",0.471866503651234,"2018-11-19",4.9
"216","breitbart","text6175","3",0.603459904259206,"2018-10-07",4.9
"217","breitbart","text7368","2",0.508894228804668,"2018-10-30",4.9
