"","outlet","document","topic","gamma","date","ideology"
"137","abcnews","text6499","5",0.894079712633094,"2018-07-29",2.9
"138","abcnews","text1997","5",0.536838833965542,"2018-06-16",2.9
"139","abcnews","text6726","3",0.857610345582151,"2018-07-31",2.9
"140","abcnews","text1088","6",0.449847147647598,"2018-06-10",2.9
"141","abcnews","text6121","1",0.563802812204266,"2018-07-25",2.9
"142","abcnews","text6228","1",0.952778673921808,"2018-07-25",2.9
"143","abcnews","text527","6",0.369998268504789,"2018-06-05",2.9
"144","abcnews","text545","6",0.387342674188664,"2018-06-05",2.9
"145","abcnews","text1291","1",0.702801570757275,"2018-06-11",2.9
"146","abcnews","text2965","3",0.422563977156358,"2018-06-24",2.9
"147","abcnews","text3093","3",0.250934513576177,"2018-06-24",2.9
"148","abcnews","text241","5",0.943021791070867,"2018-06-03",2.9
"149","abcnews","text6597","1",0.752351578572601,"2018-07-30",2.9
"150","abcnews","text701","1",0.513135945707744,"2018-06-06",2.9
"151","abcnews","text191","6",0.562572253675091,"2018-06-03",2.9
"152","abcnews","text822","1",0.540860920878565,"2018-06-06",2.9
"153","abcnews","text837","1",0.590815267440671,"2018-06-06",2.9
"154","abcnews","text3959","6",0.752289309450548,"2018-07-01",2.9
"155","abcnews","text3057","4",0.493296582526423,"2018-06-24",2.9
"156","abcnews","text3006","5",0.916620928188307,"2018-06-24",2.9
"157","abcnews","text335","1",0.93896155538,"2018-06-04",2.9
"158","abcnews","text6427","5",0.640807001737498,"2018-07-27",2.9
"159","abcnews","text370","1",0.800108872333489,"2018-06-04",2.9
"160","abcnews","text382","1",0.817336891671897,"2018-06-04",2.9
"161","abcnews","text393","1",0.64342873956226,"2018-06-04",2.9
"162","abcnews","text400","1",0.534447483330785,"2018-06-04",2.9
"163","abcnews","text477","1",0.273115627743069,"2018-06-04",2.9
"164","abcnews","text1678","1",0.729336522546968,"2018-06-13",2.9
"165","abcnews","text496","1",0.576525535631659,"2018-06-04",2.9
"166","abcnews","text3110","1",0.964997817266093,"2018-06-25",2.9
"167","abcnews","text3127","1",0.86649510444408,"2018-06-25",2.9
"168","abcnews","text4175","1",0.681303457447846,"2018-07-02",2.9
"169","abcnews","text2076","3",0.490186146501803,"2018-06-17",2.9
"170","abcnews","text3234","1",0.559865808777811,"2018-06-25",2.9
"171","abcnews","text3235","1",0.77037293948232,"2018-06-25",2.9
"172","abcnews","text3250","1",0.891315741115819,"2018-06-25",2.9
"173","abcnews","text6189","3",0.560365858596761,"2018-07-25",2.9
"174","abcnews","text6222","3",0.655127292441369,"2018-07-25",2.9
"175","abcnews","text378","2",0.542858763870436,"2018-06-04",2.9
"176","abcnews","text472","2",0.303454883613886,"2018-06-04",2.9
"177","abcnews","text4969","2",0.625927176804367,"2018-07-11",2.9
"178","abcnews","text5025","2",0.750120283133772,"2018-07-11",2.9
"179","abcnews","text5071","2",0.735719147379425,"2018-07-11",2.9
"180","abcnews","text3851","6",0.508210426328279,"2018-06-29",2.9
"181","abcnews","text290","3",0.909416488030286,"2018-06-04",2.9
"182","abcnews","text361","3",0.446742053522371,"2018-06-04",2.9
"183","abcnews","text479","3",0.446742053522371,"2018-06-04",2.9
"184","abcnews","text5452","5",0.36834479900252,"2018-07-16",2.9
"185","abcnews","text3080","2",0.792020197818662,"2018-06-25",2.9
"186","abcnews","text3131","2",0.586231251986697,"2018-06-25",2.9
"187","abcnews","text4674","1",0.694672347845752,"2018-07-06",2.9
"188","abcnews","text5911","1",0.639065959821658,"2018-07-21",2.9
"189","abcnews","text4019","3",0.550830242340957,"2018-07-02",2.9
"190","abcnews","text4070","3",0.475820199627512,"2018-07-02",2.9
"191","abcnews","text4072","3",0.680829646725185,"2018-07-02",2.9
"192","abcnews","text1428","1",0.569685247939238,"2018-06-12",2.9
"193","abcnews","text1430","1",0.829974351357642,"2018-06-12",2.9
"194","abcnews","text1452","1",0.73481867440788,"2018-06-12",2.9
"195","abcnews","text1535","1",0.785851097646779,"2018-06-12",2.9
"196","abcnews","text5216","1",0.827042248213001,"2018-07-13",2.9
"197","abcnews","text3102","3",0.542431123836308,"2018-06-25",2.9
"198","abcnews","text349","5",0.521036891780208,"2018-06-04",2.9
"199","abcnews","text3153","3",0.535482516759102,"2018-06-25",2.9
"200","abcnews","text3230","3",0.553979011021504,"2018-06-25",2.9
"201","abcnews","text3243","3",0.621164460488561,"2018-06-25",2.9
"202","abcnews","text6223","4",0.686796586376603,"2018-07-25",2.9
"203","abcnews","text326","6",0.509412065795596,"2018-06-04",2.9
"204","abcnews","text372","6",0.449618107170033,"2018-06-04",2.9
"205","abcnews","text2440","2",0.640833181470026,"2018-06-20",2.9
"206","abcnews","text488","6",0.359998836692175,"2018-06-04",2.9
"207","abcnews","text6168","6",0.50678473584136,"2018-07-26",2.9
"208","abcnews","text4582","3",0.464676056581309,"2018-07-06",2.9
"209","abcnews","text516","1",0.624614005710223,"2018-06-05",2.9
"210","abcnews","text645","1",0.273115627743069,"2018-06-05",2.9
"211","abcnews","text673","1",0.451849470489484,"2018-06-05",2.9
"212","abcnews","text1553","6",0.425726263812025,"2018-06-13",2.9
"213","abcnews","text5848","1",0.839333927074067,"2018-07-22",2.9
"214","abcnews","text5917","1",0.797199825136286,"2018-07-22",2.9
"215","abcnews","text5927","1",0.884709659499853,"2018-07-22",2.9
"216","abcnews","text3788","1",0.752959275145581,"2018-06-30",2.9
"217","abcnews","text3869","1",0.806236270008186,"2018-06-30",2.9
"218","abcnews","text5527","1",0.814814436405932,"2018-07-17",2.9
"219","abcnews","text5534","1",0.558670160277016,"2018-07-17",2.9
"220","abcnews","text5535","1",0.825197704363516,"2018-07-17",2.9
"221","abcnews","text5542","1",0.833436808058177,"2018-07-17",2.9
"222","abcnews","text5577","1",0.496634795182517,"2018-07-17",2.9
"223","abcnews","text2307","4",0.721197570337548,"2018-06-18",2.9
"224","abcnews","text6381","6",0.447709179024483,"2018-07-28",2.9
"225","abcnews","text4641","4",0.649243554116785,"2018-07-06",2.9
"226","abcnews","text6431","1",0.660840689109065,"2018-07-27",2.9
"227","abcnews","text6438","1",0.959159963865892,"2018-07-27",2.9
"228","abcnews","text3197","1",0.655219100723457,"2018-06-26",2.9
"229","abcnews","text3217","1",0.739150291674108,"2018-06-26",2.9
"230","abcnews","text3285","1",0.606731874079332,"2018-06-26",2.9
"231","abcnews","text3373","1",0.739458978238463,"2018-06-26",2.9
"232","abcnews","text452","2",0.318089147876562,"2018-06-05",2.9
"233","abcnews","text603","2",0.497507923444071,"2018-06-05",2.9
"234","abcnews","text654","2",0.388733058655293,"2018-06-05",2.9
"235","abcnews","text2353","1",0.776662681450764,"2018-06-19",2.9
"236","abcnews","text1503","3",0.24459748256417,"2018-06-12",2.9
"237","abcnews","text1543","3",0.396381609657967,"2018-06-12",2.9
"238","abcnews","text2467","1",0.708991937688487,"2018-06-19",2.9
"239","abcnews","text435","3",0.939514128822027,"2018-06-05",2.9
"240","abcnews","text522","3",0.498704017567359,"2018-06-05",2.9
"241","abcnews","text3893","1",0.390567641183145,"2018-07-01",2.9
"242","abcnews","text6234","1",0.932304265070825,"2018-07-26",2.9
"243","abcnews","text3944","1",0.921210329950233,"2018-07-01",2.9
"244","abcnews","text5609","3",0.765593601896333,"2018-07-18",2.9
"245","abcnews","text6243","1",0.702364301668836,"2018-07-26",2.9
"246","abcnews","text3351","2",0.662158071872637,"2018-06-26",2.9
"247","abcnews","text6372","3",0.45601127812553,"2018-07-27",2.9
"248","abcnews","text6341","1",0.856918726602581,"2018-07-26",2.9
"249","abcnews","text2676","1",0.516191879676151,"2018-06-21",2.9
"250","abcnews","text492","5",0.508373578196973,"2018-06-05",2.9
"251","abcnews","text2408","2",0.657656189103589,"2018-06-19",2.9
"252","abcnews","text2472","2",0.353681296497858,"2018-06-19",2.9
"253","abcnews","text4104","2",0.453639608194,"2018-07-01",2.9
"254","abcnews","text1530","4",0.61789286517897,"2018-06-12",2.9
"255","abcnews","text2854","1",0.622604165605858,"2018-06-21",2.9
"256","abcnews","text2827","1",0.881128716767315,"2018-06-21",2.9
"257","abcnews","text5121","3",0.619958864964626,"2018-07-12",2.9
"258","abcnews","text5189","3",0.37860840864534,"2018-07-12",2.9
"259","abcnews","text1448","5",0.64208273120588,"2018-06-12",2.9
"260","abcnews","text1709","3",0.51638109881423,"2018-06-14",2.9
"261","abcnews","text5882","1",0.880497540232506,"2018-07-23",2.9
"262","abcnews","text5886","1",0.536203587508801,"2018-07-23",2.9
"263","abcnews","text5932","1",0.558365489254656,"2018-07-23",2.9
"264","abcnews","text6528","1",0.830494131649459,"2018-07-30",2.9
"265","abcnews","text1213","1",0.671990589575858,"2018-06-11",2.9
"266","abcnews","text666","6",0.363318144659257,"2018-06-05",2.9
"267","abcnews","text2231","3",0.425488513270505,"2018-06-19",2.9
"268","abcnews","text2286","3",0.425488513270505,"2018-06-19",2.9
"269","abcnews","text3182","4",0.536983352932315,"2018-06-26",2.9
"270","abcnews","text3343","4",0.489600188688096,"2018-06-26",2.9
"271","abcnews","text3696","3",0.879278085224766,"2018-06-28",2.9
"272","abcnews","text710","1",0.732854547506131,"2018-06-06",2.9
"273","abcnews","text3821","4",0.745476936084191,"2018-06-29",2.9
"274","abcnews","text6677","1",0.877492034427454,"2018-07-30",2.9
"275","abcnews","text1443","6",0.544758585373221,"2018-06-12",2.9
"276","abcnews","text4059","6",0.32911082430683,"2018-07-01",2.9
"277","abcnews","text4060","6",0.752289309450548,"2018-07-01",2.9
"278","abcnews","text6207","3",0.540434158344878,"2018-07-26",2.9
"279","abcnews","text3844","5",0.550767998149295,"2018-06-29",2.9
"280","abcnews","text5906","1",0.737460720411844,"2018-07-20",2.9
"281","abcnews","text4022","1",0.765956481570558,"2018-07-02",2.9
"282","abcnews","text4026","1",0.575337328243348,"2018-07-02",2.9
"283","abcnews","text1563","1",0.463457302861251,"2018-06-13",2.9
