"","document","topic","gamma","outlet","date"
"265","text545",6,0.387342674188664,"abcnews","2018-06-05"
"266","text666",6,0.363318144659257,"abcnews","2018-06-05"
"267","text10102",6,0.457086249162412,"buzzfeed","2018-06-05"
"268","text24057",6,0.506760168185014,"foxnews","2018-06-05"
"269","text24134",6,0.757979455440995,"foxnews","2018-06-05"
"270","text30256",6,0.338286787807783,"motherjones","2018-06-05"
"271","text701",1,0.513135945707744,"abcnews","2018-06-06"
"272","text710",1,0.732854547506131,"abcnews","2018-06-06"
"273","text822",1,0.540860920878565,"abcnews","2018-06-06"
"274","text837",1,0.590815267440671,"abcnews","2018-06-06"
"275","text23968",1,0.771941721322865,"foxnews","2018-06-06"
"276","text24058",1,0.551137958589946,"foxnews","2018-06-06"
"277","text24076",1,0.599185041818423,"foxnews","2018-06-06"
"278","text24117",1,0.598996559795592,"foxnews","2018-06-06"
"279","text24118",1,0.886396029673593,"foxnews","2018-06-06"
"280","text24129",1,0.953067100775778,"foxnews","2018-06-06"
"281","text24144",1,0.648915013998461,"foxnews","2018-06-06"
"282","text24203",1,0.549435213261009,"foxnews","2018-06-06"
"283","text24233",1,0.662965471723443,"foxnews","2018-06-06"
"284","text24235",1,0.881650290464417,"foxnews","2018-06-06"
"285","text24330",1,0.454434314530543,"foxnews","2018-06-06"
"286","text24339",1,0.794667839539888,"foxnews","2018-06-06"
"287","text24346",1,0.851622872372366,"foxnews","2018-06-06"
"288","text24376",1,0.761408356976154,"foxnews","2018-06-06"
"289","text24377",1,0.754590870557299,"foxnews","2018-06-06"
"290","text24429",1,0.536878466612462,"foxnews","2018-06-06"
"291","text28845",1,0.674224972138925,"infowars","2018-06-06"
"292","text28737",2,0.407873944524656,"infowars","2018-06-06"
"293","text38530",2,0.414645649692637,"politico","2018-06-06"
"294","text708",3,0.458076967899446,"abcnews","2018-06-06"
"295","text718",3,0.467208265735889,"abcnews","2018-06-06"
"296","text14661",3,0.370394317221185,"dailykos","2018-06-06"
"297","text23962",3,0.719585515090417,"foxnews","2018-06-06"
"298","text24050",3,0.492908990715602,"foxnews","2018-06-06"
"299","text24079",3,0.477014532566604,"foxnews","2018-06-06"
"300","text24177",3,0.683066710531747,"foxnews","2018-06-06"
"301","text24249",3,0.901607668721828,"foxnews","2018-06-06"
"302","text24347",3,0.71857017091213,"foxnews","2018-06-06"
"303","text24352",3,0.8177695505236,"foxnews","2018-06-06"
"304","text24438",3,0.473750779770391,"foxnews","2018-06-06"
"305","text28765",3,0.354354225569538,"infowars","2018-06-06"
"306","text28896",3,0.355615949600322,"infowars","2018-06-06"
"307","text33227",3,0.687755022991655,"newyorker","2018-06-06"
"308","text33232",3,0.640630671277688,"newyorker","2018-06-06"
"309","text38510",3,0.410423926025839,"politico","2018-06-06"
"310","text41721",3,0.721292462523206,"washingtonpost","2018-06-06"
"311","text41735",3,0.92533027641888,"washingtonpost","2018-06-06"
"312","text41746",3,0.921212335851617,"washingtonpost","2018-06-06"
"313","text41757",3,0.375716967868042,"washingtonpost","2018-06-06"
"314","text41761",3,0.441785783268589,"washingtonpost","2018-06-06"
"315","text41763",3,0.415983535508326,"washingtonpost","2018-06-06"
"316","text41823",3,0.959020999307415,"washingtonpost","2018-06-06"
"317","text41854",3,0.931803826208599,"washingtonpost","2018-06-06"
"318","text24399",4,0.449302723373093,"foxnews","2018-06-06"
"319","text24441",4,0.469317872412239,"foxnews","2018-06-06"
"320","text28746",4,0.701915333132037,"infowars","2018-06-06"
"321","text14599",5,0.453352347896642,"dailykos","2018-06-06"
"322","text14619",5,0.863412337892229,"dailykos","2018-06-06"
"323","text24096",5,0.396314422539995,"foxnews","2018-06-06"
"324","text24165",5,0.520435480765187,"foxnews","2018-06-06"
"325","text24311",5,0.406205126947199,"foxnews","2018-06-06"
"326","text33204",5,0.51495689117381,"newyorker","2018-06-06"
"327","text38511",5,0.600852842256784,"politico","2018-06-06"
"328","text38529",5,0.526456150650826,"politico","2018-06-06"
"329","text41729",5,0.462091758123223,"washingtonpost","2018-06-06"
"330","text747",6,0.344913651165294,"abcnews","2018-06-06"
"331","text824",6,0.615815702309618,"abcnews","2018-06-06"
"332","text24365",6,0.513911092892872,"foxnews","2018-06-06"
"333","text24366",6,0.517575282170608,"foxnews","2018-06-06"
"334","text24381",6,0.510400261232999,"foxnews","2018-06-06"
"335","text24396",6,0.430857577477877,"foxnews","2018-06-06"
"336","text24410",6,0.582814734950617,"foxnews","2018-06-06"
"337","text28843",6,0.420485115985412,"infowars","2018-06-06"
"338","text796",1,0.501002016233009,"abcnews","2018-06-07"
"339","text853",1,0.504236426479203,"abcnews","2018-06-07"
"340","text871",1,0.372410908428747,"abcnews","2018-06-07"
"341","text880",1,0.765447096574064,"abcnews","2018-06-07"
"342","text945",1,0.640548008593172,"abcnews","2018-06-07"
"343","text1201",1,0.701238263771685,"abcnews","2018-06-07"
"344","text10180",1,0.583663556378818,"buzzfeed","2018-06-07"
"345","text24234",1,0.730982668350987,"foxnews","2018-06-07"
"346","text24247",1,0.451942901046699,"foxnews","2018-06-07"
"347","text24255",1,0.932433699795343,"foxnews","2018-06-07"
"348","text24272",1,0.6429328811638,"foxnews","2018-06-07"
"349","text24338",1,0.579996283676871,"foxnews","2018-06-07"
"350","text24357",1,0.466693972215593,"foxnews","2018-06-07"
"351","text24360",1,0.515738195049698,"foxnews","2018-06-07"
"352","text24368",1,0.604443665358762,"foxnews","2018-06-07"
"353","text24439",1,0.943610256949773,"foxnews","2018-06-07"
"354","text24506",1,0.703716934127175,"foxnews","2018-06-07"
"355","text24507",1,0.811671300097722,"foxnews","2018-06-07"
"356","text24508",1,0.877068019793334,"foxnews","2018-06-07"
"357","text24524",1,0.679378887767196,"foxnews","2018-06-07"
"358","text24527",1,0.901772182602814,"foxnews","2018-06-07"
